Row, Timestamp, Series 1, Series 2, Series 4, Series 5, Series 6
907,9.75, , , ,774,3028
908,9.76, , , ,778,3021
909,9.77, , , ,781,3031
910,9.78, , , ,782,3025
911,9.79, , , ,782,3018
912,9.8, , , ,782,3019
913,9.81, , , ,782,3022
914,9.82, , , ,782,3023
915,9.83, , , ,782,3021
916,9.84, , , ,782,3017
917,9.85, , , ,782,3019
918,9.86, , , ,782,3023
919,9.87, , , ,786,3020
920,9.88, , , ,791,3034
921,9.89, , , ,798,3043
922,9.9, , , ,803,3044
923,9.91, , , ,808,3041
924,9.92, , , ,814,3044
925,9.93, , , ,820,3052
926,9.94, , , ,826,3054
927,9.95, , , ,832,3058
928,9.96, , , ,837,3058
929,9.97, , , ,843,3060
930,9.98, , , ,849,3061
931,9.99, , , ,854,3061
932,10, , , ,860,3062
933,10.01, , , ,866,3063
934,10.02, , , ,871,3061
935,10.03, , , ,876,3061
936,10.04, , , ,882,3063
937,10.05, , , ,887,3062
938,10.06, , , ,892,3062
939,10.07, , , ,898,3061
940,10.08, , , ,902,3063
941,10.09, , , ,908,3063
942,10.1, , , ,912,3061
943,10.11, , , ,918,3063
944,10.12, , , ,922,3063
945,10.13, , , ,927,3063
946,10.14, , , ,932,3062
947,10.15, , , ,936,3062
948,10.16, , , ,941,3062
949,10.17, , , ,946,3062
950,10.18, , , ,950,3063
951,10.19, , , ,954,3063
952,10.2, , , ,955,3063
953,10.21, , , ,956,3063
954,10.22, , , ,957,3063
955,10.23, , , ,957,3062
956,10.24, , , ,957,3062
957,10.25, , , ,957,3063
958,10.26, , , ,957,3062
959,10.27, , , ,957,3063
960,10.28, , , ,957,3063
961,10.29, , , ,957,3063
962,10.3, , , ,957,3063
